iter	RMSE
859	0.5928775412
860	0.5923854753
861	0.5916362774
862	0.5915055866
863	0.5909559567
864	0.5898711207
865	0.5891274679
866	0.5884251385
867	0.5875565619
868	0.5866327265
869	0.5856266009
870	0.5845325414
871	0.583127221
872	0.5823181098
873	0.5816522007
874	0.5805636114
875	0.5797028385
876	0.5789177566
877	0.5788048645
878	0.5779421267
879	0.5771052291
880	0.5762816328
881	0.5752962449
882	0.5741492947
883	0.5737346156
884	0.5731435335
885	0.5718191719
886	0.570767553
887	0.5700382485
888	0.5691990991
889	0.5690595354
890	0.5681279848
891	0.567424989
892	0.5660610069
893	0.5648980002
894	0.5637071891
895	0.562477565
896	0.5621355715
897	0.5609806822
898	0.5608589761
899	0.5601678023
900	0.5589665954
901	0.5578638903
902	0.5572140119
903	0.5561057489
904	0.5554596774
905	0.5547977151
906	0.553828013
907	0.5527903275
908	0.5524901552
909	0.5516271009
910	0.5506333196
911	0.5502355811
912	0.549925159
913	0.5491890183
914	0.5485189231
915	0.5477893352
916	0.5467411575
917	0.5460674844
918	0.5448705497
919	0.5447391385
920	0.5438927852
921	0.5434788917
922	0.5426535371
923	0.5421975686
924	0.5416250229
925	0.5410056506
926	0.5400647888
927	0.5399023876
928	0.5392779479
929	0.5385591605
930	0.5376862328
931	0.5369383184
932	0.5367503506
933	0.5366331662
934	0.5359831973
935	0.5358649771
936	0.5351924051
937	0.5344755898
938	0.5337713883
939	0.5331460906
940	0.5321289901
941	0.531970126
942	0.5313229155
943	0.5304515968
944	0.5303473537
945	0.5298427846
946	0.5295777914
947	0.5290107029
948	0.5285371788
949	0.5279364644
950	0.5272383883
951	0.5271410966
952	0.5267090005
953	0.5265783397
954	0.5255048687
955	0.5253920063
956	0.5245269574
957	0.5234554179
958	0.5228894485
959	0.5227673168
960	0.5216989235
961	0.5207356615
962	0.5204603322
963	0.5194118072
964	0.5185366258
965	0.5174839779
966	0.5169666087
967	0.5165124094
968	0.5156394471
969	0.515550932
970	0.5150003384
971	0.5141292514
972	0.513620308
973	0.5129998231
974	0.5122355318
975	0.5117157997
976	0.5116306378
977	0.5106354643
978	0.5095875992
979	0.5094950787
980	0.5086295369
981	0.508551929
982	0.5078776764
983	0.5072055084
984	0.506664728
985	0.5059402191
986	0.5051383147
987	0.5044960279
988	0.5044417446
989	0.5039326587
990	0.5034429963
991	0.5025499552
992	0.502431039
993	0.5018301959
994	0.5007179206
995	0.5001193851
996	0.5000164418
997	0.4990296236
998	0.4981121227
999	0.4974692835
